Title,Director,Year
The Shawshank Redemption,Frank Darabont,1994
The Godfather,Francis Ford Coppola,1972
The Dark Knight,Christopher Nolan,2008
Pulp Fiction,Quentin Tarantino,1994
The Lord of the Rings: The Return of the King,Peter Jackson,2003
Forrest Gump,Robert Zemeckis,1994
Inception,Christopher Nolan,2010
Fight Club,David Fincher,1999
The Matrix,"Lana Wachowski, Lilly Wachowski",1999
Goodfellas,Martin Scorsese,1990
The Empire Strikes Back,Irvin Kershner,1980
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2001
The Lord of the Rings: The Two Towers,Peter Jackson,2002
Interstellar,Christopher Nolan,2014
Se7en,David Fincher,1995
The Silence of the Lambs,Jonathan Demme,1991
Saving Private Ryan,Steven Spielberg,1998
The Green Mile,Frank Darabont,1999
Star Wars: A New Hope,George Lucas,1977
The Prestige,Christopher Nolan,2006
The Departed,Martin Scorsese,2006
Gladiator,Ridley Scott,2000
Whiplash,Damien Chazelle,2014
The Lion King,"Roger Allers, Rob Minkoff",1994
The Usual Suspects,Bryan Singer,1995
Schindler's List,Steven Spielberg,1993
Braveheart,Mel Gibson,1995
Memento,Christopher Nolan,2000
Django Unchained,Quentin Tarantino,2012
Coco,"Lee Unkrich, Adrian Molina",2017
Avengers: Infinity War,"Anthony Russo, Joe Russo",2018
Joker,Todd Phillips,2019
Parasite,Bong Joon-ho,2019
Once Upon a Time in Hollywood,Quentin Tarantino,2019
The Grand Budapest Hotel,Wes Anderson,2014
Logan,James Mangold,2017
The Wolf of Wall Street,Martin Scorsese,2013
Blade Runner 2049,Denis Villeneuve,2017
No Country for Old Men,"Ethan Coen, Joel Coen",2007
Mad Max: Fury Road,George Miller,2015
A Beautiful Mind,Ron Howard,2001
12 Years a Slave,Steve McQueen,2013
The Revenant,Alejandro Gonz치lez I침치rritu,2015
Slumdog Millionaire,Danny Boyle,2008
Black Swan,Darren Aronofsky,2010
The Truman Show,Peter Weir,1998
The Social Network,David Fincher,2010
American Beauty,Sam Mendes,1999
Heat,Michael Mann,1995
The Room Next Door,Pedro Almod칩var,2023
In Vitro,Will Howarth,2024
Fear Street: Part Three - 1666,Leigh Janiak,2021
The Wind,Emma Tammi,2018
